iterat. internal-T external-T elapsed-time
0 300 263.401 0.008247
1 299.93 263.401 0.014924
2 299.865 263.401 0.021245
3 299.807 263.401 0.027256
4 299.739 263.401 0.033006
5 299.68 263.401 0.0386
6 299.613 263.401 0.044039
7 299.549 263.401 0.04944
8 299.492 263.401 0.054693
9 299.431 263.401 0.059955
10 299.371 263.401 0.065213
11 299.311 263.401 0.070513
12 299.256 263.401 0.075761
13 299.199 263.401 0.080975
14 299.14 263.401 0.08737
15 299.087 263.401 0.093137
16 299.033 263.401 0.098489
17 298.98 263.401 0.103849
18 298.921 263.401 0.109078
19 298.87 263.401 0.11443
20 298.817 263.401 0.119674
21 298.767 263.401 0.124897
22 298.714 263.401 0.130157
23 298.657 263.401 0.135398
24 298.607 263.401 0.140704
25 298.559 263.401 0.145995
26 298.507 263.401 0.151285
27 298.457 263.401 0.156518
28 298.413 263.401 0.161758
29 298.364 263.401 0.167003
30 298.315 263.401 0.172318
31 298.272 263.401 0.177602
32 298.225 263.401 0.182842
33 298.175 263.401 0.188093
34 298.132 263.401 0.193368
35 298.085 263.401 0.19866
36 298.038 263.401 0.203928
37 297.999 263.401 0.20923
38 297.954 263.401 0.214613
39 297.907 263.401 0.219867
40 297.866 263.401 0.225099
41 297.822 263.401 0.230373
42 297.78 263.401 0.235631
43 297.737 263.401 0.240861
44 297.695 263.401 0.246161
45 297.655 263.401 0.251387
46 297.613 263.401 0.256664
47 297.57 263.401 0.26191
48 297.53 263.401 0.267122
49 297.492 263.401 0.272415
50 297.452 263.401 0.277662
51 297.413 263.401 0.282934
52 297.371 263.401 0.28815
53 297.332 263.401 0.293532
54 297.295 263.401 0.29884
55 297.258 263.401 0.304091
56 297.219 263.401 0.309304
57 297.18 263.401 0.314555
58 297.143 263.401 0.319802
59 297.106 263.401 0.32503
60 297.071 263.401 0.330319
61 297.033 263.401 0.335691
62 296.998 263.401 0.34112
63 296.963 263.401 0.346414
64 296.927 263.401 0.351643
65 296.892 263.401 0.356894
66 296.854 263.401 0.36212
67 296.822 263.401 0.367367
68 296.786 263.401 0.372665
69 296.752 263.401 0.377931
70 296.716 263.401 0.383151
71 296.681 263.401 0.38838
72 296.647 263.401 0.393609
73 296.615 263.401 0.398835
74 296.579 263.401 0.404129
75 296.549 263.401 0.409341
76 296.517 263.401 0.414594
77 296.482 263.401 0.419925
78 296.452 263.401 0.425164
79 296.418 263.401 0.430391
80 296.386 263.401 0.43563
81 296.353 263.401 0.440937
82 296.326 263.401 0.446172
83 296.292 263.401 0.451429
84 296.259 263.401 0.456721
85 296.23 263.401 0.461991
86 296.196 263.401 0.467214
87 296.166 263.401 0.47246
88 296.135 263.401 0.477694
89 296.104 263.401 0.482943
90 296.075 263.401 0.488154
91 296.044 263.401 0.493537
92 296.015 263.401 0.498733
93 295.985 263.401 0.504221
94 295.955 263.401 0.50951
95 295.928 263.401 0.514811
96 295.896 263.401 0.520015
97 295.868 263.401 0.525289
98 295.84 263.401 0.530543
99 295.809 263.401 0.535839
100 295.783 263.401 0.542502
101 295.756 263.401 0.549812
102 295.726 263.401 0.556409
103 295.697 263.401 0.563134
104 295.671 263.401 0.569779
105 295.642 263.401 0.575037
106 295.613 263.401 0.580288
107 295.588 263.401 0.585552
108 295.563 263.401 0.591063
109 295.531 263.401 0.596355
110 295.508 263.401 0.601727
111 295.48 263.401 0.607041
112 295.449 263.401 0.612257
113 295.426 263.401 0.617501
114 295.398 263.401 0.622713
115 295.371 263.401 0.628027
116 295.347 263.401 0.633222
117 295.318 263.401 0.638449
118 295.293 263.401 0.643703
119 295.267 263.401 0.648931
120 295.24 263.401 0.654377
121 295.217 263.401 0.659676
122 295.191 263.401 0.664944
123 295.165 263.401 0.670173
124 295.139 263.401 0.675431
125 295.115 263.401 0.68064
126 295.089 263.401 0.68648
127 295.064 263.401 0.692564
128 295.041 263.401 0.698496
129 295.016 263.401 0.703779
130 294.991 263.401 0.709072
131 294.967 263.401 0.714328
132 294.943 263.401 0.719622
133 294.916 263.401 0.724852
134 294.895 263.401 0.730083
135 294.869 263.401 0.735328
136 294.844 263.401 0.740604
137 294.822 263.401 0.74584
138 294.798 263.401 0.751121
139 294.772 263.401 0.756436
140 294.749 263.401 0.761657
141 294.727 263.401 0.766911
142 294.704 263.401 0.7722
143 294.681 263.401 0.777453
144 294.655 263.401 0.78276
145 294.634 263.401 0.788014
146 294.613 263.401 0.793281
147 294.589 263.401 0.798648
148 294.563 263.401 0.803894
149 294.542 263.401 0.809197
150 294.521 263.401 0.814508
151 294.498 263.401 0.819768
152 294.474 263.401 0.825
153 294.453 263.401 0.830219
154 294.431 263.401 0.835445
155 294.409 263.401 0.840669
156 294.385 263.401 0.845946
157 294.365 263.401 0.851174
158 294.344 263.401 0.85657
159 294.321 263.401 0.861853
160 294.299 263.401 0.867131
161 294.277 263.401 0.872384
162 294.258 263.401 0.877665
163 294.236 263.401 0.882996
164 294.214 263.401 0.88823
165 294.193 263.401 0.893583
166 294.172 263.401 0.898895
167 294.153 263.401 0.904283
168 294.128 263.401 0.90954
169 294.107 263.401 0.914785
170 294.085 263.401 0.920125
171 294.065 263.401 0.925403
172 294.046 263.401 0.930658
173 294.026 263.401 0.935895
174 294.004 263.401 0.941131
175 293.984 263.401 0.946366
176 293.963 263.401 0.951611
177 293.943 263.401 0.956925
178 293.923 263.401 0.96214
179 293.903 263.401 0.967449
180 293.882 263.401 0.972705
181 293.863 263.401 0.977993
182 293.842 263.401 0.983252
183 293.821 263.401 0.988494
184 293.802 263.401 0.993787
185 293.783 263.401 0.999083
186 293.763 263.401 1.00495
187 293.744 263.401 1.01016
188 293.724 263.401 1.01541
189 293.702 263.401 1.0207
190 293.685 263.401 1.02593
191 293.666 263.401 1.03122
192 293.647 263.401 1.03645
193 293.627 263.401 1.04168
194 293.608 263.401 1.04695
195 293.588 263.401 1.05309
196 293.568 263.401 1.05837
197 293.551 263.401 1.06365
198 293.533 263.401 1.06891
199 293.514 263.401 1.07417
200 293.495 263.401 1.07944
201 293.476 263.401 1.08464
202 293.456 263.401 1.08993
203 293.437 263.401 1.0952
204 293.42 263.401 1.10057
205 293.401 263.401 1.10596
206 293.383 263.401 1.11122
207 293.365 263.401 1.11643
208 293.346 263.401 1.12168
209 293.328 263.401 1.1269
210 293.309 263.401 1.13217
211 293.292 263.401 1.13739
212 293.273 263.401 1.14262
213 293.255 263.401 1.14792
214 293.237 263.401 1.15356
215 293.219 263.401 1.15888
216 293.201 263.401 1.16416
217 293.184 263.401 1.16939
218 293.165 263.401 1.17507
219 293.148 263.401 1.1804
220 293.13 263.401 1.1857
221 293.113 263.401 1.19181
222 293.095 263.401 1.198
223 293.078 263.401 1.20415
224 293.06 263.401 1.21028
225 293.043 263.401 1.21697
226 293.025 263.401 1.22306
227 293.008 263.401 1.22974
228 292.991 263.401 1.2364
229 292.975 263.401 1.24166
230 292.958 263.401 1.24693
231 292.938 263.401 1.2522
232 292.922 263.401 1.25745
233 292.906 263.401 1.26345
234 292.889 263.401 1.26867
235 292.873 263.401 1.274
236 292.856 263.401 1.27922
237 292.838 263.401 1.28463
238 292.821 263.401 1.28991
239 292.803 263.401 1.29523
240 292.788 263.401 1.30071
241 292.772 263.401 1.30602
242 292.755 263.401 1.31172
243 292.739 263.401 1.31778
244 292.723 263.401 1.32403
245 292.705 263.401 1.32928
246 292.69 263.401 1.33458
247 292.673 263.401 1.33987
248 292.655 263.401 1.34516
249 292.64 263.401 1.35041
250 292.625 263.401 1.35574
251 292.61 263.401 1.36107
252 292.593 263.401 1.36637
253 292.577 263.401 1.37171
254 292.561 263.401 1.37702
255 292.543 263.401 1.38228
256 292.527 263.401 1.38761
257 292.511 263.401 1.39288
258 292.495 263.401 1.39814
259 292.481 263.401 1.40352
260 292.465 263.401 1.40879
261 292.449 263.401 1.41404
262 292.435 263.401 1.41928
263 292.419 263.401 1.42457
264 292.402 263.401 1.42983
265 292.387 263.401 1.43507
266 292.371 263.401 1.44032
267 292.355 263.401 1.44557
268 292.34 263.401 1.45082
269 292.326 263.401 1.45612
270 292.309 263.401 1.46136
271 292.296 263.401 1.46661
272 292.281 263.401 1.47187
273 292.263 263.401 1.47709
274 292.249 263.401 1.48232
275 292.234 263.401 1.48801
276 292.219 263.401 1.49324
277 292.203 263.401 1.4986
278 292.189 263.401 1.50383
279 292.175 263.401 1.50911
280 292.159 263.401 1.51443
281 292.145 263.401 1.51966
282 292.128 263.401 1.52491
283 292.115 263.401 1.53023
284 292.101 263.401 1.53552
285 292.084 263.401 1.54073
286 292.069 263.401 1.54599
287 292.056 263.401 1.55124
288 292.04 263.401 1.55661
289 292.026 263.401 1.56184
290 292.011 263.401 1.56782
291 291.996 263.401 1.57364
292 291.982 263.401 1.58039
293 291.968 263.401 1.58708
294 291.954 263.401 1.59379
295 291.939 263.401 1.60052
296 291.925 263.401 1.60756
297 291.911 263.401 1.61422
298 291.897 263.401 1.6211
299 291.883 263.401 1.62791
300 291.868 263.401 1.63457
301 291.853 263.401 1.64122
302 291.839 263.401 1.64711
303 291.824 263.401 1.65255
304 291.81 263.401 1.65785
305 291.797 263.401 1.66306
306 291.783 263.401 1.66834
307 291.77 263.401 1.67361
308 291.755 263.401 1.67889
309 291.742 263.401 1.68415
310 291.728 263.401 1.68946
311 291.713 263.401 1.69474
312 291.7 263.401 1.70012
313 291.685 263.401 1.70535
314 291.67 263.401 1.71063
315 291.657 263.401 1.71591
316 291.644 263.401 1.72157
317 291.63 263.401 1.72682
318 291.617 263.401 1.7322
319 291.603 263.401 1.73746
320 291.591 263.401 1.7427
321 291.578 263.401 1.74794
322 291.563 263.401 1.75312
323 291.55 263.401 1.75862
324 291.535 263.401 1.76383
325 291.522 263.401 1.76935
326 291.51 263.401 1.77459
327 291.495 263.401 1.77981
328 291.483 263.401 1.78507
329 291.47 263.401 1.79043
330 291.456 263.401 1.79573
331 291.443 263.401 1.80106
332 291.43 263.401 1.80633
333 291.417 263.401 1.81158
334 291.403 263.401 1.81682
335 291.391 263.401 1.8221
336 291.378 263.401 1.82879
337 291.364 263.401 1.83407
338 291.351 263.401 1.83942
339 291.339 263.401 1.84463
340 291.326 263.401 1.8499
341 291.311 263.401 1.85518
342 291.298 263.401 1.86038
343 291.287 263.401 1.8657
344 291.273 263.401 1.8709
345 291.26 263.401 1.87613
346 291.248 263.401 1.88135
347 291.235 263.401 1.88795
348 291.222 263.401 1.89354
349 291.209 263.401 1.89877
350 291.197 263.401 1.90412
351 291.185 263.401 1.90933
352 291.171 263.401 1.91459
353 291.159 263.401 1.91988
354 291.146 263.401 1.9257
355 291.135 263.401 1.93096
356 291.122 263.401 1.93626
357 291.109 263.401 1.94153
358 291.097 263.401 1.94681
359 291.084 263.401 1.9521
360 291.072 263.401 1.95885
361 291.059 263.401 1.96412
362 291.045 263.401 1.96934
363 291.033 263.401 1.97461
364 291.021 263.401 1.97981
365 291.009 263.401 1.98506
366 290.997 263.401 1.99105
367 290.985 263.401 1.99629
368 290.972 263.401 2.00158
369 290.96 263.401 2.00682
370 290.948 263.401 2.01204
371 290.936 263.401 2.01728
372 290.925 263.401 2.02317
373 290.913 263.401 2.02846
374 290.9 263.401 2.03366
375 290.889 263.401 2.03989
376 290.876 263.401 2.04515
377 290.864 263.401 2.05042
378 290.851 263.401 2.05569
379 290.839 263.401 2.0609
380 290.828 263.401 2.06613
381 290.816 263.401 2.0714
382 290.804 263.401 2.07661
383 290.792 263.401 2.08186
384 290.781 263.401 2.08709
385 290.769 263.401 2.09233
386 290.758 263.401 2.09756
387 290.746 263.401 2.1029
388 290.735 263.401 2.10823
389 290.722 263.401 2.1135
390 290.71 263.401 2.11874
391 290.699 263.401 2.12404
392 290.687 263.401 2.12929
393 290.675 263.401 2.13454
394 290.664 263.401 2.13984
395 290.652 263.401 2.1451
396 290.64 263.401 2.15061
397 290.628 263.401 2.15584
398 290.617 263.401 2.16128
399 290.604 263.401 2.16652
400 290.593 263.401 2.17176
401 290.582 263.401 2.177
402 290.572 263.401 2.18228
403 290.56 263.401 2.18756
404 290.549 263.401 2.19275
405 290.538 263.401 2.19813
406 290.527 263.401 2.20334
407 290.516 263.401 2.20864
408 290.505 263.401 2.21385
409 290.493 263.401 2.21913
410 290.481 263.401 2.22441
411 290.471 263.401 2.22974
412 290.46 263.401 2.23497
413 290.447 263.401 2.24024
414 290.436 263.401 2.2455
415 290.425 263.401 2.25075
416 290.413 263.401 2.25598
417 290.403 263.401 2.26122
418 290.392 263.401 2.26648
419 290.381 263.401 2.27169
420 290.37 263.401 2.27697
421 290.358 263.401 2.2822
422 290.348 263.401 2.28749
423 290.336 263.401 2.29274
424 290.326 263.401 2.29796
425 290.315 263.401 2.30321
426 290.305 263.401 2.30872
427 290.294 263.401 2.31396
428 290.282 263.401 2.3192
429 290.271 263.401 2.32447
430 290.26 263.401 2.32974
431 290.25 263.401 2.33499
432 290.239 263.401 2.34021
433 290.228 263.401 2.34546
434 290.217 263.401 2.35066
435 290.207 263.401 2.35587
436 290.195 263.401 2.36109
437 290.184 263.401 2.36638
438 290.174 263.401 2.37164
439 290.164 263.401 2.37684
440 290.154 263.401 2.38209
441 290.143 263.401 2.38733
442 290.132 263.401 2.39259
443 290.121 263.401 2.39785
444 290.111 263.401 2.40312
445 290.1 263.401 2.40832
446 290.09 263.401 2.41354
447 290.08 263.401 2.41879
448 290.068 263.401 2.42402
449 290.058 263.401 2.4293
450 290.049 263.401 2.43452
451 290.038 263.401 2.43978
452 290.028 263.401 2.445
453 290.018 263.401 2.4503
454 290.006 263.401 2.45552
455 289.996 263.401 2.46074
456 289.986 263.401 2.46608
457 289.976 263.401 2.47128
458 289.966 263.401 2.47654
459 289.955 263.401 2.48175
460 289.945 263.401 2.48698
461 289.935 263.401 2.49271
462 289.925 263.401 2.49798
463 289.914 263.401 2.5032
464 289.903 263.401 2.50866
465 289.893 263.401 2.51395
466 289.884 263.401 2.51917
467 289.874 263.401 2.5244
468 289.863 263.401 2.52972
469 289.852 263.401 2.53496
470 289.842 263.401 2.54021
471 289.833 263.401 2.54542
472 289.823 263.401 2.55069
473 289.814 263.401 2.55592
474 289.803 263.401 2.56114
475 289.792 263.401 2.56638
476 289.783 263.401 2.57223
477 289.773 263.401 2.57745
478 289.763 263.401 2.58269
479 289.752 263.401 2.58793
480 289.743 263.401 2.5931
481 289.733 263.401 2.59841
482 289.723 263.401 2.60368
483 289.713 263.401 2.60889
484 289.703 263.401 2.61416
485 289.694 263.401 2.61941
486 289.684 263.401 2.62473
487 289.674 263.401 2.62999
488 289.664 263.401 2.6352
489 289.654 263.401 2.64046
490 289.645 263.401 2.64574
491 289.635 263.401 2.65106
492 289.625 263.401 2.65633
493 289.615 263.401 2.66157
494 289.605 263.401 2.66683
495 289.595 263.401 2.67206
496 289.587 263.401 2.67727
497 289.578 263.401 2.68255
498 289.567 263.401 2.68786
499 289.557 263.401 2.6931
500 289.548 263.401 2.69848
501 289.539 263.401 2.70466
502 289.53 263.401 2.71004
503 289.52 263.401 2.71528
504 289.51 263.401 2.7207
505 289.501 263.401 2.72596
506 289.492 263.401 2.73131
507 289.481 263.401 2.73657
508 289.472 263.401 2.74192
509 289.463 263.401 2.74715
510 289.454 263.401 2.7524
511 289.444 263.401 2.75762
512 289.435 263.401 2.76289
513 289.426 263.401 2.76812
514 289.416 263.401 2.77335
515 289.407 263.401 2.77864
516 289.398 263.401 2.78391
517 289.387 263.401 2.78913
518 289.379 263.401 2.79436
519 289.37 263.401 2.79955
520 289.36 263.401 2.8048
521 289.35 263.401 2.81007
522 289.341 263.401 2.81531
523 289.332 263.401 2.82064
524 289.323 263.401 2.82588
525 289.314 263.401 2.83118
526 289.304 263.401 2.83661
527 289.295 263.401 2.84188
528 289.286 263.401 2.84772
529 289.277 263.401 2.85301
530 289.268 263.401 2.85826
531 289.258 263.401 2.86351
532 289.25 263.401 2.86889
533 289.241 263.401 2.87416
534 289.232 263.401 2.87939
535 289.223 263.401 2.88464
536 289.213 263.401 2.88988
537 289.204 263.401 2.89514
538 289.195 263.401 2.90041
539 289.187 263.401 2.90564
540 289.177 263.401 2.91107
541 289.168 263.401 2.9163
542 289.159 263.401 2.92156
543 289.15 263.401 2.92681
544 289.142 263.401 2.93205
545 289.133 263.401 2.93726
546 289.124 263.401 2.94254
547 289.114 263.401 2.94779
548 289.106 263.401 2.95307
549 289.096 263.401 2.95833
550 289.089 263.401 2.96359
551 289.08 263.401 2.96891
552 289.071 263.401 2.97414
553 289.062 263.401 2.97935
554 289.053 263.401 2.9846
555 289.044 263.401 2.99074
556 289.036 263.401 2.99643
557 289.027 263.401 3.00166
558 289.019 263.401 3.00706
559 289.009 263.401 3.01232
560 289.001 263.401 3.01756
561 288.992 263.401 3.02283
562 288.983 263.401 3.02807
563 288.974 263.401 3.03336
564 288.966 263.401 3.03864
565 288.957 263.401 3.04389
566 288.948 263.401 3.04913
567 288.94 263.401 3.05438
568 288.931 263.401 3.05967
569 288.921 263.401 3.06487
570 288.913 263.401 3.07009
571 288.905 263.401 3.07531
572 288.897 263.401 3.08054
573 288.889 263.401 3.08575
574 288.88 263.401 3.091
575 288.871 263.401 3.09621
576 288.863 263.401 3.10148
577 288.855 263.401 3.10733
578 288.847 263.401 3.11265
579 288.838 263.401 3.11791
580 288.828 263.401 3.12315
581 288.819 263.401 3.12838
582 288.813 263.401 3.13366
583 288.804 263.401 3.13898
584 288.796 263.401 3.14421
585 288.787 263.401 3.1495
586 288.778 263.401 3.15614
587 288.771 263.401 3.16144
588 288.763 263.401 3.16679
589 288.755 263.401 3.17202
590 288.745 263.401 3.17727
591 288.737 263.401 3.1826
592 288.728 263.401 3.18783
593 288.72 263.401 3.19308
594 288.712 263.401 3.19833
595 288.703 263.401 3.20359
596 288.694 263.401 3.20885
597 288.686 263.401 3.21409
598 288.68 263.401 3.21935
599 288.672 263.401 3.22458
600 288.663 263.401 3.22977
601 288.654 263.401 3.23504
602 288.645 263.401 3.24031
603 288.638 263.401 3.24554
604 288.63 263.401 3.25079
605 288.622 263.401 3.25615
606 288.613 263.401 3.2614
607 288.606 263.401 3.26661
608 288.597 263.401 3.27191
609 288.59 263.401 3.27716
610 288.581 263.401 3.28241
611 288.572 263.401 3.28763
612 288.564 263.401 3.2929
613 288.557 263.401 3.29814
614 288.549 263.401 3.30338
615 288.542 263.401 3.30863
616 288.533 263.401 3.31391
617 288.524 263.401 3.31915
618 288.517 263.401 3.32443
619 288.509 263.401 3.33014
620 288.501 263.401 3.33537
621 288.492 263.401 3.34089
622 288.484 263.401 3.3461
623 288.477 263.401 3.35134
624 288.469 263.401 3.35716
625 288.461 263.401 3.36258
626 288.453 263.401 3.36782
627 288.445 263.401 3.37363
628 288.438 263.401 3.37941
629 288.431 263.401 3.38547
630 288.422 263.401 3.39136
631 288.414 263.401 3.3973
632 288.406 263.401 3.40333
633 288.398 263.401 3.40933
634 288.391 263.401 3.41737
635 288.383 263.401 3.42467
636 288.374 263.401 3.43299
637 288.365 263.401 3.44018
638 288.358 263.401 3.44633
639 288.351 263.401 3.45234
640 288.344 263.401 3.45879
641 288.338 263.401 3.46465
642 288.329 263.401 3.47125
643 288.321 263.401 3.47805
644 288.313 263.401 3.48437
645 288.306 263.401 3.49051
646 288.298 263.401 3.49803
647 288.289 263.401 3.50579
648 288.282 263.401 3.51441
649 288.274 263.401 3.52024
650 288.266 263.401 3.52633
651 288.259 263.401 3.5328
652 288.251 263.401 3.5392
653 288.243 263.401 3.54474
654 288.237 263.401 3.55202
655 288.228 263.401 3.55876
656 288.222 263.401 3.56556
657 288.214 263.401 3.57161
658 288.206 263.401 3.57769
659 288.199 263.401 3.5851
660 288.191 263.401 3.5917
661 288.184 263.401 3.59794
662 288.176 263.401 3.60366
663 288.168 263.401 3.61
664 288.16 263.401 3.61697
665 288.153 263.401 3.62326
666 288.146 263.401 3.62903
667 288.139 263.401 3.63523
668 288.132 263.401 3.64134
669 288.123 263.401 3.64723
670 288.116 263.401 3.65288
671 288.108 263.401 3.65879
672 288.102 263.401 3.66415
673 288.094 263.401 3.67011
674 288.086 263.401 3.67572
675 288.079 263.401 3.68118
676 288.071 263.401 3.68716
677 288.065 263.401 3.69285
678 288.057 263.401 3.69831
679 288.049 263.401 3.704
680 288.042 263.401 3.70965
681 288.036 263.401 3.71512
682 288.028 263.401 3.72073
683 288.021 263.401 3.72611
684 288.012 263.401 3.73151
685 288.006 263.401 3.73732
686 287.998 263.401 3.74264
687 287.99 263.401 3.7481
688 287.983 263.401 3.75388
689 287.977 263.401 3.75923
690 287.97 263.401 3.76476
691 287.963 263.401 3.77059
692 287.956 263.401 3.7761
693 287.949 263.401 3.7816
694 287.941 263.401 3.78682
695 287.933 263.401 3.79248
696 287.927 263.401 3.79787
697 287.919 263.401 3.80389
698 287.911 263.401 3.80986
699 287.903 263.401 3.81548
700 287.897 263.401 3.82108
701 287.89 263.401 3.8264
702 287.883 263.401 3.83197
703 287.876 263.401 3.83764
704 287.869 263.401 3.84307
705 287.862 263.401 3.84855
706 287.854 263.401 3.85419
707 287.848 263.401 3.85954
708 287.841 263.401 3.86497
709 287.834 263.401 3.8708
710 287.828 263.401 3.87616
711 287.819 263.401 3.88156
712 287.812 263.401 3.88735
713 287.804 263.401 3.89271
714 287.798 263.401 3.8981
715 287.791 263.401 3.90394
716 287.784 263.401 3.90936
717 287.777 263.401 3.91472
718 287.77 263.401 3.92079
719 287.764 263.401 3.92612
720 287.756 263.401 3.93158
721 287.75 263.401 3.93815
722 287.743 263.401 3.94526
723 287.736 263.401 3.95308
724 287.728 263.401 3.96027
725 287.721 263.401 3.96751
726 287.716 263.401 3.97381
727 287.709 263.401 3.97933
728 287.702 263.401 3.98468
729 287.694 263.401 3.99009
730 287.688 263.401 3.9957
731 287.68 263.401 4.00101
732 287.674 263.401 4.00639
733 287.667 263.401 4.01229
734 287.659 263.401 4.01764
735 287.653 263.401 4.02303
736 287.646 263.401 4.02893
737 287.64 263.401 4.03427
738 287.633 263.401 4.03963
739 287.627 263.401 4.04551
740 287.619 263.401 4.05128
741 287.612 263.401 4.05746
742 287.605 263.401 4.06284
743 287.598 263.401 4.06838
744 287.591 263.401 4.07381
745 287.585 263.401 4.07932
746 287.578 263.401 4.08462
747 287.571 263.401 4.08996
748 287.564 263.401 4.09564
749 287.558 263.401 4.101
750 287.551 263.401 4.10646
751 287.546 263.401 4.11222
752 287.539 263.401 4.11754
753 287.532 263.401 4.12305
754 287.526 263.401 4.12892
755 287.518 263.401 4.1343
756 287.511 263.401 4.13972
757 287.505 263.401 4.14566
758 287.498 263.401 4.15112
759 287.491 263.401 4.15653
760 287.484 263.401 4.16233
761 287.478 263.401 4.16763
762 287.471 263.401 4.17299
763 287.465 263.401 4.17823
764 287.459 263.401 4.18369
765 287.452 263.401 4.18902
766 287.446 263.401 4.19425
767 287.44 263.401 4.20015
