iteration internal-T external-T loop-time(ms) wall-time(ms)
0 300 260 9.5638 11
1 299.867 260 9.51427 22
2 299.735 260 9.4962 34
3 299.606 260 9.46906 45
4 299.478 260 9.49417 56
5 299.351 260 9.47313 67
6 299.227 260 9.50062 79
7 299.103 260 9.46771 90
8 298.982 260 9.4801 101
9 298.862 260 9.47573 112
10 298.743 260 9.475 124
11 298.626 260 9.48057 135
12 298.51 260 9.43302 146
13 298.396 260 9.41604 157
14 298.282 260 9.50641 168
15 298.171 260 9.47771 180
16 298.06 260 9.49599 191
17 297.951 260 9.48318 202
18 297.843 260 9.5013 213
19 297.736 260 9.48698 225
20 297.63 260 9.47812 236
21 297.526 260 9.47323 247
22 297.422 260 9.49443 258
23 297.32 260 9.47338 269
24 297.219 260 9.47771 281
25 297.118 260 9.45026 292
26 297.019 260 9.48854 303
27 296.921 260 9.47359 314
28 296.824 260 9.47901 326
29 296.728 260 9.41687 337
30 296.633 260 9.44401 348
31 296.538 260 9.42865 359
32 296.445 260 9.47146 370
33 296.352 260 9.4749 381
34 296.261 260 9.47234 393
35 296.17 260 9.41609 404
36 296.08 260 9.48719 415
37 295.991 260 9.46391 426
38 295.903 260 9.43052 437
39 295.815 260 9.52703 449
40 295.729 260 9.50396 460
41 295.643 260 9.47031 471
42 295.557 260 9.44552 482
43 295.473 260 9.40333 493
44 295.389 260 9.41745 505
45 295.306 260 9.47505 516
46 295.224 260 9.4437 527
47 295.142 260 9.41297 538
48 295.062 260 9.4388 549
49 294.981 260 9.45896 560
50 294.902 260 9.5012 572
51 294.823 260 9.40844 583
52 294.744 260 9.48563 594
53 294.667 260 9.47198 605
54 294.59 260 9.43719 616
55 294.513 260 9.43969 628
56 294.437 260 9.45771 639
57 294.362 260 9.45672 650
58 294.287 260 9.45562 661
59 294.213 260 9.45536 672
60 294.139 260 9.48646 683
61 294.066 260 9.46255 695
62 293.994 260 9.49745 706
63 293.922 260 9.45766 717
64 293.85 260 9.4738 728
65 293.779 260 9.43401 739
66 293.709 260 9.49963 751
67 293.639 260 9.46656 762
68 293.569 260 9.47453 773
69 293.5 260 9.46755 784
70 293.431 260 9.48057 796
71 293.363 260 9.47005 807
72 293.296 260 9.47406 818
73 293.228 260 9.42302 829
74 293.162 260 9.48948 840
75 293.095 260 9.46 852
76 293.029 260 9.47495 863
77 292.964 260 9.46026 874
78 292.899 260 9.46896 885
79 292.834 260 9.70854 897
80 292.77 260 9.6713 908
81 292.706 260 9.45318 920
82 292.643 260 9.49448 931
83 292.58 260 9.63234 943
84 292.517 260 9.46792 954
85 292.455 260 9.42536 965
86 292.393 260 9.43297 976
87 292.332 260 9.41979 987
88 292.27 260 9.42797 998
89 292.21 260 9.43698 1010
90 292.149 260 9.44208 1021
91 292.089 260 9.42708 1032
92 292.029 260 9.49406 1043
93 291.97 260 9.475 1054
94 291.911 260 9.46109 1066
95 291.852 260 9.46135 1077
96 291.794 260 9.47385 1088
97 291.736 260 9.42698 1099
98 291.678 260 9.48208 1110
99 291.621 260 9.4701 1122
100 291.564 260 9.47531 1133
101 291.507 260 9.47229 1144
102 291.45 260 9.48386 1155
103 291.394 260 9.47932 1166
104 291.338 260 9.4751 1178
105 291.283 260 9.42422 1189
106 291.227 260 9.46932 1200
107 291.172 260 9.45854 1211
108 291.118 260 9.47573 1222
109 291.063 260 9.46766 1234
110 291.009 260 9.49162 1245
111 290.955 260 9.44625 1256
112 290.902 260 9.48365 1267
113 290.848 260 9.46766 1278
114 290.795 260 9.49167 1290
115 290.742 260 9.46984 1301
116 290.69 260 9.49234 1312
117 290.637 260 9.46844 1323
118 290.585 260 9.44099 1334
119 290.534 260 9.4063 1346
120 290.482 260 9.45938 1357
121 290.431 260 9.48427 1368
122 290.38 260 9.47547 1379
123 290.329 260 9.45682 1390
124 290.278 260 9.48469 1402
125 290.228 260 9.42745 1413
126 290.178 260 9.4812 1424
127 290.128 260 9.47161 1435
128 290.078 260 9.43359 1446
129 290.029 260 9.465 1458
130 289.98 260 9.46495 1469
131 289.931 260 9.45797 1480
132 289.882 260 9.47984 1491
133 289.834 260 9.45953 1502
134 289.785 260 9.50719 1514
135 289.737 260 9.43818 1525
136 289.689 260 9.48135 1536
137 289.642 260 9.44573 1547
138 289.594 260 9.48385 1558
139 289.547 260 9.47276 1569
140 289.5 260 9.44943 1581
141 289.453 260 9.44578 1592
142 289.406 260 9.48297 1603
143 289.36 260 9.42214 1614
144 289.314 260 9.48307 1625
145 289.267 260 9.47406 1637
146 289.222 260 9.42161 1648
147 289.176 260 9.46281 1659
148 289.13 260 9.45037 1670
149 289.085 260 9.44281 1681
150 289.04 260 9.4713 1693
151 288.995 260 9.44224 1704
152 288.95 260 9.47568 1715
153 288.906 260 9.46516 1726
154 288.861 260 9.49792 1737
155 288.817 260 9.44198 1748
156 288.773 260 9.42927 1760
157 288.729 260 9.41203 1771
158 288.685 260 9.4699 1782
159 288.642 260 9.43281 1793
160 288.598 260 9.44734 1804
161 288.555 260 9.46969 1816
162 288.512 260 9.45359 1827
163 288.469 260 9.46318 1838
164 288.427 260 9.49443 1849
165 288.384 260 9.4313 1860
166 288.342 260 9.50026 1871
167 288.299 260 9.45948 1883
168 288.257 260 9.45875 1894
169 288.216 260 9.46062 1905
170 288.174 260 9.46068 1916
171 288.132 260 9.46109 1928
172 288.091 260 9.89432 1940
173 288.049 260 9.60073 1951
174 288.008 260 9.6151 1963
175 287.967 260 9.60229 1974
176 287.926 260 9.61047 1986
177 287.886 260 9.49906 1997
178 287.845 260 9.4963 2008
179 287.805 260 9.44245 2020
180 287.765 260 9.47646 2031
181 287.724 260 9.46495 2042
182 287.684 260 9.46016 2053
183 287.645 260 9.48443 2064
184 287.605 260 9.44411 2075
185 287.565 260 9.43635 2087
186 287.526 260 9.48505 2098
187 287.487 260 9.46297 2109
188 287.447 260 9.43563 2120
189 287.408 260 9.48193 2131
190 287.37 260 9.45594 2143
191 287.331 260 9.46724 2154
192 287.292 260 9.46651 2165
193 287.254 260 9.45687 2176
194 287.215 260 9.48432 2187
195 287.177 260 9.43151 2199
196 287.139 260 9.42208 2210
197 287.101 260 9.42385 2221
198 287.063 260 9.47115 2232
199 287.025 260 9.46854 2243
200 286.988 260 9.48339 2255
201 286.95 260 9.51214 2266
202 286.913 260 9.49745 2277
203 286.876 260 9.45323 2288
204 286.839 260 9.4776 2300
205 286.802 260 9.43266 2311
206 286.765 260 9.45391 2322
207 286.728 260 9.45057 2333
208 286.691 260 9.48203 2344
209 286.655 260 9.42875 2356
210 286.618 260 9.46255 2367
211 286.582 260 9.45703 2378
212 286.546 260 9.49901 2389
213 286.51 260 9.45203 2400
214 286.474 260 9.49354 2412
215 286.438 260 9.39427 2423
216 286.402 260 9.45766 2434
217 286.367 260 9.46245 2445
218 286.331 260 9.46912 2456
219 286.296 260 9.47177 2467
220 286.261 260 9.45573 2479
221 286.225 260 9.45859 2490
222 286.19 260 9.48057 2501
223 286.155 260 9.42599 2512
224 286.12 260 9.47458 2523
225 286.086 260 9.43807 2534
226 286.051 260 9.45927 2546
227 286.016 260 9.47239 2557
228 285.982 260 9.43464 2568
229 285.948 260 9.42792 2579
230 285.913 260 9.46068 2590
231 285.879 260 9.43859 2602
232 285.845 260 9.43526 2613
233 285.811 260 9.44901 2624
234 285.777 260 9.47318 2635
235 285.744 260 9.43417 2646
236 285.71 260 9.4776 2657
237 285.676 260 9.45068 2669
238 285.643 260 9.49 2680
239 285.609 260 9.47203 2691
240 285.576 260 9.47578 2702
241 285.543 260 9.45443 2713
242 285.51 260 9.47266 2725
243 285.477 260 9.47005 2736
244 285.444 260 9.46734 2747
