iteration internal-T external-T loop-time(ms) calcT-time(ms) wall-time(ms)
0 300 280 20.057865142822266 2.9733850955963135 23
1 299.93340000000001 280.00000073553997 19.998750686645508 2.9372389316558838 46
2 299.86768806438005 280.00000146127201 20.047031402587891 2.9819788932800293 69
3 299.80284266857933 280.00000217743383 19.952447891235352 2.9762499332427979 93
4 299.7388429555798 280.00000288425588 20.016302108764648 2.9633851051330566 116
5 299.67566871191497 280.00000358196132 19.941926956176758 2.9598960876464844 139
6 299.61330034464555 280.00000427076645 19.947917938232422 2.9682819843292236 162
7 299.55171885925802 280.00000495088125 19.917865753173828 2.9478640556335449 185
8 299.49090583844566 280.00000562250898 19.952499389648438 2.9880208969116211 209
9 299.43084342173245 280.00000628584689 19.922760009765625 2.9429690837860107 232
10 299.37151428590334 280.00000694108638 19.914894104003906 2.9634370803833008 255
11 299.31290162620553 280.00000758841304 19.914844512939453 2.9675519466400146 278
12 299.25498913828585 280.00000822800678 19.914896011352539 2.9568231105804443 301
13 299.1977610008351 280.00000886004261 19.920469284057617 2.9600520133972168 324
14 299.14120185890579 280.00000948468988 19.948646545410156 2.958125114440918 347
15 299.08529680787638 280.00001010211321 19.902551651000977 2.9427599906921387 370
16 299.03003137803313 280.0000107124726 19.901405334472656 2.9493229389190674 394
17 298.97539151974451 280.00001131592308 19.955989837646484 2.9407811164855957 417
18 298.92136358920169 280.00001191261526 19.933853149414062 2.9340100288391113 440
19 298.86793433470206 280.0000125026956 19.904478073120117 2.9713540077209473 463
20 298.81509088345268 280.00001308630624 19.915729522705078 2.9632809162139893 486
21 298.76282072887227 280.00001366358532 19.937032699584961 2.9579169750213623 509
22 298.71111171836975 280.00001423466705 19.903280258178711 2.9742190837860107 532
23 298.65995204158185 280.00001479968188 19.926353454589844 2.9442710876464844 556
24 298.60933021904816 280.00001535875651 19.903593063354492 2.9562499523162842 579
25 298.55923509130724 280.00001591201431 19.951562881469727 2.963749885559082 602
26 298.50965580839687 280.00001645957508 19.912708282470703 2.9600000381469727 625
27 298.46058181974007 280.00001700155514 19.907917022705078 2.9582810401916504 648
28 298.41200286440346 280.00001753806816 19.927656173706055 2.9676558971405029 671
29 298.3639089617111 280.00001806922404 19.905937194824219 2.9797909259796143 694
30 298.31629040220071 280.00001859513031 19.902864456176758 2.9422910213470459 717
31 298.26913773890772 280.00001911589112 19.942760467529297 2.96390700340271 741
32 298.22244177896437 280.00001963160793 19.899166107177734 2.9948959350585938 764
33 298.1761935755016 280.00002014237975 19.925363540649414 2.9340629577636719 787
34 298.13038441984094 280.00002064830267 19.94593620300293 2.9686980247497559 810
35 298.08500583396579 280.00002114947029 19.896041870117188 2.9739060401916504 833
36 298.04004956326048 280.00002164597379 19.897499084472656 2.9736449718475342 856
37 297.99550756950663 280.00002213790196 19.916458129882812 2.9401559829711914 879
38 297.95137202412781 280.00002262534122 19.902759552001953 2.9638550281524658 902
39 297.90763530167089 280.00002310837584 19.939271926879883 2.9361979961395264 926
40 297.8642899735168 280.00002358708787 19.898176193237305 2.9440619945526123 949
41 297.82132880181047 280.00002406155721 19.948385238647461 2.9530730247497559 972
42 297.77874473360259 280.00002453186175 19.975311279296875 2.9620320796966553 995
43 297.73653089519405 280.00002499807744 19.898593902587891 3.0859370231628418 1018
44 297.69468058667627 280.00002546027832 19.910469055175781 3.0634889602661133 1042
45 297.65318727665942 280.00002591853638 19.928384780883789 2.9641149044036865 1065
46 297.61204459718101 280.00002637292204 19.912239074707031 2.975416898727417 1088
47 297.57124633878914 280.00002682350379 19.917135238647461 2.9439589977264404 1111
48 297.53078644579301 280.00002727034871 19.908594131469727 2.9449999332427979 1134
49 297.49065901167421 280.00002771352183 19.898488998413086 2.9902079105377197 1157
50 297.45085827465408 280.00002815308682 19.904792785644531 2.9711980819702148 1181
51 297.41137861340934 280.00002858910585 19.969322204589844 3.0159890651702881 1204
52 297.37221454293217 280.00002902163959 19.919792175292969 2.9861459732055664 1227
53 297.33336071052901 280.00002945074681 19.907447814941406 2.955625057220459 1250
54 297.29481189195212 280.00002987648554 19.900417327880859 2.9630210399627686 1273
55 297.25656298766012 280.00003029891189 19.932031631469727 2.9214580059051514 1296
56 297.21860901920172 280.00003071808095 19.928176879882812 2.9548959732055664 1319
57 297.1809451257198 280.00003113404637 19.932916641235352 2.9738540649414062 1343
58 297.14356656056913 280.00003154686067 19.931301116943359 2.9633328914642334 1366
59 297.10646868804565 280.00003195657484 19.937707901000977 2.951509952545166 1390
60 297.06964698022227 280.00003236323909 19.923124313354492 3.1705729961395264 1413
61 297.03309701388775 280.00003276690217 19.955572128295898 2.9693229198455811 1437
62 296.99681446758439 280.00003316761178 19.909011840820312 3.1117188930511475 1460
63 296.9607951187416 280.00003356541464 19.911354064941406 2.9431250095367432 1483
64 296.92503484090179 280.00003396035629 19.896198272705078 2.9782810211181641 1506
65 296.88952960103546 280.00003435248124 19.888072967529297 2.9673960208892822 1529
66 296.8542754569412 280.00003474183302 19.893697738647461 2.9466140270233154 1552
67 296.81926855472966 280.00003512845433 19.895156860351562 2.9822919368743896 1576
68 296.78450512638608 280.00003551238666 19.888177871704102 2.9641149044036865 1599
69 296.74998148741167 280.00003589367066 19.886457443237305 2.9581770896911621 1622
70 296.71569403453708 280.00003627234616 19.894010543823242 2.9847390651702881 1645
71 296.68163924350972 280.00003664845218 19.961093902587891 2.9594271183013916 1668
72 296.64781366694899 280.00003702202673 19.884323120117188 2.9528129100799561 1691
73 296.61421393226914 280.00003739310699 19.877082824707031 2.9421350955963135 1714
74 296.58083673966604 280.00003776172952 19.892238616943359 2.9651570320129395 1737
75 296.54767886016742 280.00003812792988 19.932188034057617 2.9789059162139893 1760
76 296.51473713374168 280.00003849174306 19.88380241394043 2.9926040172576904 1784
77 296.48200846746613 280.00003885320308 19.947084426879883 2.9651041030883789 1807
78 296.44948983375127 280.00003921234355 19.879583358764648 2.9473440647125244 1830
79 296.41717826861827 280.0000395691971 19.878698348999023 2.9710419178009033 1853
80 296.38507087003057 280.00003992379584 19.885156631469727 2.957603931427002 1876
81 296.35316479627414 280.00004027617109 19.895988464355469 2.9156250953674316 1899
82 296.32145726438864 280.00004062635367 19.885208129882812 2.9119269847869873 1922
83 296.28994554864408 280.00004097437358 19.890781402587891 2.9338541030883789 1945
84 296.25862697906456 280.00004132026027 19.893177032470703 2.9994270801544189 1968
85 296.22749893999548 280.0000416640429 19.927135467529297 2.960468053817749 1991
86 296.19655886871345 280.00004200574944 19.881614685058594 2.972865104675293 2015
87 296.16580425407801 280.00004234540779 19.956197738647461 2.959583044052124 2038
88 296.13523263522256 280.00004268304514 19.889999389648438 2.9903650283813477 2061
89 296.10484160028437 280.00004301868807 19.885780334472656 2.9120309352874756 2084
90 296.07462878517191 280.00004335236281 19.90135383605957 2.9621360301971436 2107
91 296.04459187236796 280.00004368409469 19.882656097412109 2.9498429298400879 2130
92 296.0147285897682 280.00004401390913 19.888019561767578 2.9635419845581055 2153
93 295.98503670955284 280.00004434183046 19.920103073120117 2.9352080821990967 2176
94 295.95551404709204 280.000044667883 19.882551193237305 2.9118750095367432 2199
95 295.92615845988144 280.00004499209035 19.893802642822266 2.964271068572998 2222
96 295.89696784651011 280.0000453144757 19.884321212768555 2.9519269466400146 2245
97 295.86794014565646 280.00004563506172 19.886562347412109 2.9571359157562256 2269
98 295.83907333511377 280.00004595387094 19.894271850585938 2.9719789028167725 2292
