iterat. internal-T external-T elapsed-time
0 300 280 0.02998355499948957
1 299.19999999999868 280.0000088353122 0.06311832899973524
2 298.52813741741454 280.00001625546093 0.092873650000001362
3 297.94710600452311 280.00002267245816 0.122776475000137
4 297.43349718286157 280.0000283448249 0.1526760179995108
5 296.97180041472296 280.00003344386818 0.18247555800007831
6 296.55130638030414 280.00003808786539 0.2124421339995024
7 296.16435677203174 280.00004236139267 0.24227651999990485
8 295.80530500684097 280.0000463268168 0.27219710499957728
9 295.46987441645211 280.0000500313563 0.30206581399943389
10 295.15474864618409 280.00005351165129 0.33209311999962665
11 294.8573023636298 280.00005679669266 0.36196516299969517
12 294.57541936238187 280.00005990984721 0.39196054199965147
13 294.30736659798703 280.00006287025985 0.42200149400014197
14 294.05170493986572 280.00006569382515 0.45191984000030061
15 293.80722459684267 280.00006839390011 0.48182125800030917
16 293.57289749130433 280.00007098184341 0.51178022899966891
17 293.3478415146156 280.00007346739233 0.54195061199970951
18 293.1312932699168 280.00007585898459 0.57439885999974649
19 292.92258698416094 280.00007816396322 0.60698971500005428
20 292.72113797695749 280.00008038879707 0.63706603299942799
21 292.52642954511902 280.00008253918315 0.66762553900025523
22 292.33800244262028 280.00008462019997 0.69751695699960692
23 292.15544635734511 280.00008663637601 0.72758514999986801
24 291.97839294191635 280.0000885917799 0.75821418899977289
25 291.80651006684582 280.00009049007781 0.78816430599999876
26 291.63949704460578 280.00009233459286 0.81806483899981686
27 291.47708063187963 280.00009412834311 0.8488781010000821
28 291.31901166082656 280.00009587408061 0.87889045900010387
29 291.16506218269933 280.00009757432059 0.90888078500029224
30 291.01502303191296 280.0000992313735 0.93893803999981174
31 290.86870173745893 280.0001008473663 0.9688789909996558
32 290.72592072306281 280.00010242425856 1.0051802440002575
33 290.58651574885158 280.00010396386801 1.0538933970001381
34 290.45033455612872 280.00010546787257 1.0949611670002923
35 290.3172356838665 280.00010693783605 1.1471339310000985
36 290.18708743107459 280.00010837521097 1.1858234680003079
37 290.05976694369036 280.00010978135936 1.2161439589999645
38 289.93515940824233 280.0001111575408 1.2460615230002077
39 289.81315733741303 280.0001125049493 1.2903905650000524
40 289.69365993503004 280.00011382469631 1.3203646929996466
41 289.57657253000605 280.00011511782628 1.3504237709994413
42 289.46180607024797 280.00011638532436 1.3803637840001102
43 289.34927666901331 280.00011762811414 1.4103179639996597
44 289.23890519717463 280.00011884707226 1.4402613100000963
45 289.13061691592327 280.00012004302476 1.471565990000272
46 289.02434114502631 280.00012121674843 1.5054832819996591
47 288.92001096261004 280.00012236898476 1.5409589430000779
48 288.8175629328519 280.00012350043755 1.571046770999601
49 288.7169368584652 280.00012461176641 1.6010019929999544
50 288.61807555530675 280.00012570360434 1.6309203900000284
51 288.52092464675064 280.00012677655269 1.6608724870002334
52 288.42543237567753 280.00012783118081 1.6908410420001019
53 288.33154943240351 280.00012886803904 1.7207888149996506
54 288.23922879678975 280.00012988764212 1.7508511750002071
55 288.14842559324381 280.00013089048554 1.7808112920001804
56 288.05909695726399 280.00013187704258 1.8107328149999375
57 287.97120191253447 280.0001328477681 1.8415775359999316
58 287.88470125742788 280.00013380309719 1.8716056229995957
59 287.79955746018936 280.00013474343893 1.9015912619997835
60 287.71573456191607 280.00013566918938 1.9315263270000287
61 287.63319808667433 280.00013658073505 1.9618030139999973
62 287.55191495810459 280.00013747843713 1.9918164660002731
63 287.47185342198685 280.00013836265066 2.0217566869996517
64 287.39298297421192 280.00013923370562 2.0522677549997752
65 287.31527429371107 280.0001400919312 2.0822509979998358
66 287.2386991799836 280.00014093763826 2.116759448999801
67 287.1632304947679 280.00014177112536 2.1505944989994532
68 287.08884210757924 280.00014259268119 2.1806361290000496
69 287.01550884479144 280.00014340258315 2.2106673420003062
70 286.9432064419737 280.00014420110131 2.2406143339994742
71 286.87191149922893 280.00014498849305 2.2705380959996546
72 286.80160143935109 280.00014576500604 2.3005061829999249
73 286.73225446850086 280.00014653088402 2.3304685399998561
74 286.66384953931987 280.00014728635807 2.3604235530001461
75 286.59636631619782 280.00014803165124 2.3904563280002549
76 286.52978514261565 280.00014876698299 2.420427226999891
77 286.46408701040906 280.00014949256189 2.4503700519999256
78 286.39925353073329 280.00015020859627 2.4808172639995973
79 286.33526690674455 280.0001509152728 2.510824101000253
80 286.27210990775291 280.00015161278998 2.5408378659994924
81 286.20976584485243 280.00015230132459 2.5707907949999935
82 286.14821854783088 280.00015298106149 2.6007434650000505
83 286.08745234336232 280.0001536521732 2.6307434270001977
84 286.02745203433739 280.00015431482461 2.6610033429997202
85 285.96820288027834 280.00015496917905 2.6910352849999981
86 285.90969057878584 280.00015561539584 2.720998891999443
87 285.85190124793166 280.00015625363022 2.7510515630001464
88 285.79482140952138 280.00015688402732 2.781081004999578
89 285.73843797322746 280.00015750673595 2.8112530549997246
90 285.68273822148484 280.0001581218915 2.841663129999688
91 285.62770979513255 280.0001587296336 2.8721161229996142
92 285.57334067974693 280.00015933009502 2.9020840539997153
93 285.51961919263658 280.00015992340349 2.9322490710001148
94 285.46653397043252 280.0001605096835 2.9622431999996479
95 285.41407395728595 280.00016108905879 2.9922941529994205
96 285.36222839357202 280.00016166164818 3.0223941690001084
97 285.31098680516493 280.0001622275671 3.0523750160000418
98 285.26033899314041 280.00016278693175 3.082345654999699
99 285.21027502397959 280.00016333984439 3.1124852029997783
100 285.16078522018739 280.00016388641592 3.1425877199999377
101 285.11186015134433 280.00016442675133 3.1726122660002147
102 285.06349062549839 280.00016496095026 3.2026693640000303
103 285.01566768099309 280.00016548911447 3.2327829229998315
104 284.9683825785965 280.000166011337 3.2627375189995291
105 284.92162679396569 280.00016652771711 3.2927359189998242
106 284.87539201045826 280.0001670383416 3.3226941610000722
107 284.82967011220035 280.00016754329914 3.3528436579999834
108 284.78445317746059 280.00016804268137 3.3827933060001669
109 284.73973347230162 280.00016853657161 3.412764726000205
110 284.69550344446225 280.00016902505342 3.4429059409994807
111 284.65175571750643 280.00016950821089 3.4729135600000518
112 284.60848308519695 280.00016998612011 3.5029333140000745
113 284.56567850607968 280.00017045885971 3.5336413650002214
114 284.52333509830316 280.00017092650484 3.5637991429994145
115 284.48144613459925 280.00017138913211 3.5938029589997313
116 284.44000503751113 280.00017184681383 3.6237785459998122
117 284.39900537474165 280.0001722996214 3.6539012709999952
118 284.35844085472547 280.00017274762081 3.6839580569994723
119 284.31830532235568 280.00017319088346 3.7139664050000647
120 284.27859275483024 280.00017362947574 3.7440922549994866
121 284.23929725773189 280.00017406346274 3.774105810999572
122 284.20041306115536 280.00017449290391 3.8041109819996564
123 284.16193451607108 280.00017491786537 3.8340958910002882
124 284.12385609072982 280.00017533840855 3.8695858239998415
125 284.08617236728213 280.00017575459214 3.9050401300000885
126 284.04887803844349 280.0001761664775 3.9484673289998682
127 284.01196790434403 280.00017657411803 3.9840799200001129
128 283.97543686941941 280.00017697757272 4.0140532670002358
129 283.93927993947744 280.00017737689325 4.044099427999754
130 283.90349221883207 280.00017777213941 4.0742302259995995
131 283.86806890752905 280.00017816335821 4.104281126999922
132 283.83300529869615 280.00017855060639 4.1342613489996438
133 283.79829677596337 280.00017893393311 4.1644209500000215
134 283.76393881096271 280.00017931338544 4.1944563289998769
135 283.72992696095116 280.00017968902 4.224497803000304
