iterat. internal-T external-T elapsed-time
0 300 244.401 0.0379909
1 299.86 244.401 0.0757771
2 299.733 244.401 0.113498
3 299.613 244.401 0.15112
4 299.48 244.401 0.188818
5 299.358 244.401 0.226391
6 299.227 244.401 0.263946
7 299.102 244.401 0.301494
8 298.983 244.401 0.339058
9 298.864 244.401 0.37672
10 298.742 244.401 0.414279
11 298.623 244.401 0.451862
12 298.513 244.401 0.489638
13 298.397 244.401 0.527901
14 298.282 244.401 0.565983
15 298.172 244.401 0.603737
16 298.065 244.401 0.641362
17 297.958 244.401 0.679
18 297.844 244.401 0.716556
19 297.738 244.401 0.75414
20 297.634 244.401 0.791729
21 297.531 244.401 0.829324
22 297.427 244.401 0.866922
23 297.317 244.401 0.904462
24 297.215 244.401 0.942025
25 297.12 244.401 0.980056
26 297.014 244.401 1.01831
27 296.917 244.401 1.06253
28 296.826 244.401 1.10962
29 296.726 244.401 1.15934
30 296.629 244.401 1.19719
31 296.544 244.401 1.23478
32 296.452 244.401 1.27255
33 296.353 244.401 1.31012
34 296.263 244.401 1.3477
35 296.168 244.401 1.38528
36 296.073 244.401 1.42286
37 295.999 244.401 1.46048
38 295.908 244.401 1.49817
39 295.814 244.401 1.53572
40 295.735 244.401 1.57332
41 295.643 244.401 1.61086
42 295.56 244.401 1.64845
43 295.475 244.401 1.68606
44 295.39 244.401 1.7236
45 295.308 244.401 1.76126
46 295.225 244.401 1.79885
47 295.141 244.401 1.83638
48 295.064 244.401 1.87407
49 294.984 244.401 1.91161
50 294.903 244.401 1.94923
51 294.828 244.401 1.98683
52 294.74 244.401 2.02441
53 294.664 244.401 2.06276
54 294.593 244.401 2.10041
55 294.514 244.401 2.13806
56 294.437 244.401 2.17594
57 294.36 244.401 2.21355
58 294.286 244.401 2.2511
59 294.215 244.401 2.28866
60 294.141 244.401 2.32623
61 294.066 244.401 2.36379
62 293.994 244.401 2.40139
63 293.924 244.401 2.43898
64 293.852 244.401 2.47654
65 293.784 244.401 2.51411
66 293.708 244.401 2.55167
67 293.642 244.401 2.58927
68 293.575 244.401 2.62683
69 293.507 244.401 2.66436
70 293.432 244.401 2.70197
71 293.363 244.401 2.7395
72 293.296 244.401 2.77715
73 293.23 244.401 2.81478
74 293.16 244.401 2.85238
75 293.098 244.401 2.89003
76 293.035 244.401 2.92758
77 292.964 244.401 2.96522
78 292.901 244.401 3.0028
79 292.838 244.401 3.04034
80 292.771 244.401 3.08152
81 292.706 244.401 3.11917
82 292.652 244.401 3.15678
83 292.585 244.401 3.19441
84 292.517 244.401 3.23201
85 292.457 244.401 3.26959
86 292.392 244.401 3.30715
87 292.332 244.401 3.34471
88 292.272 244.401 3.38234
89 292.207 244.401 3.41991
90 292.147 244.401 3.4575
91 292.092 244.401 3.49511
92 292.03 244.401 3.53265
